depth_metres,twtt_seconds,interval_velocity_time_mean,vint_std,rms_velocity_time_mean,vrms_std
617.0,0.8423506111358593,1465.0,2.0,1457.0,3.0
619.0,0.845037125621918,1465.0,2.0,1457.0,3.0
621.0,0.8477194918961064,1465.0,2.0,1457.0,3.0
623.0,0.8503970000814584,1465.0,2.0,1457.0,3.0
625.0,0.8530765339838505,1465.0,2.0,1457.0,3.0
627.0,0.8557519319505549,1465.0,2.0,1457.0,3.0
629.0,0.8584327090640713,1465.0,2.0,1457.0,3.0
631.0,0.861107868083973,1465.0,2.0,1457.0,3.0
633.0,0.8637864691412465,1465.0,2.0,1457.0,3.0
635.0,0.8664704697276945,1465.0,2.0,1457.0,3.0
637.0,0.8691487700695105,1465.0,2.0,1457.0,3.0
639.0,0.8718193024402155,1465.0,2.0,1457.0,3.0
641.0,0.8744962933479146,1465.0,2.0,1457.0,3.0
643.0,0.8771718757215466,1465.0,2.0,1457.0,3.0
645.0,0.8798522378482663,1465.0,2.0,1457.0,3.0
647.0,0.8825284934178684,1465.0,2.0,1457.0,3.0
649.0,0.8852063743326104,1465.0,2.0,1457.0,3.0
651.0,0.8878769851548102,1465.0,2.0,1457.0,3.0
653.0,0.8905526782080034,1465.0,2.0,1457.0,3.0
655.0,0.8932324431196704,1465.0,2.0,1457.0,3.0
656.0,0.8959124381261867,1466.0,2.0,1457.0,3.0
658.0,0.8985856524698157,1466.0,2.0,1457.0,3.0
660.0,0.9012632148691175,1466.0,2.0,1457.0,3.0
662.0,0.9039410089891596,1466.0,2.0,1457.0,3.0
664.0,0.9066226349051607,1466.0,2.0,1457.0,3.0
666.0,0.909299265302541,1466.0,2.0,1457.0,3.0
668.0,0.9119807709870159,1466.0,2.0,1457.0,3.0
670.0,0.9146583618431962,1466.0,2.0,1457.0,3.0
672.0,0.9173307269832006,1466.0,2.0,1457.0,3.0
674.0,0.9200096331158217,1466.0,2.0,1457.0,3.0
676.0,0.9226858499766302,1466.0,2.0,1457.0,3.0
678.0,0.9253681634528707,1466.0,2.0,1457.0,3.0
680.0,0.9280451581088589,1466.0,2.0,1457.0,3.0
682.0,0.9307245727474297,1466.0,2.0,1457.0,3.0
684.0,0.9334022351012151,1466.0,2.0,1457.0,3.0
686.0,0.9360859167042035,1466.0,2.0,1457.0,3.0
688.0,0.9387693311630342,1466.0,2.0,1457.0,3.0
